Timestamp,Grade,,Title of book,,Author of book,What grade level would you recommend this book to?,,How many stars would you give this book?,,,Submit your review below (200-400 word count)
6/8/2019 9:42:48,7,,The Giver,,Lois Lowry,"7,8",,4,,,"THE GIVER is the story of a boy named Jonas. Where he lives, the rules are strict. People can’t choose their family, their job, and no one asks questions. Everybody obeys the rules. In his community there is no conflict, inequality, divorce or choice. There aren’t really any problems in his community, but there are problems of choice. In this community everybody is the same and follows the same rules. Except for Jonas. There is a ceremony in this community. The ceremony in which children receive their predetermined life choices. Ones they did not choose. The main character in this story is Jonas. As the main character Jonas is put in a very  important position. The writing style of this book is quite hard. The are some words in this book that can make it hard to read and understand or  young readers. Overall, it’ s a great book and I really liked reading it. I would recommend it to 7-8 graders. The book contains words that might make the book hard to read for younger readers. The topic of the book and just is book in general is meant  for middle school kids rather that younger readers like elementary school kids. It is still a great book and can be enjoyed by many."
6/8/2019 17:27:11,7,,invisible man,,Ralph Ellison,"7,8",,4,,,"Invisible man is the story of a nameless young black man who journeys from the Deep South when black men like him are killed by fighting animals. He leave the south for New York City and yet his encounters still disgust him. He has though met people who have changed his perspective on being a black person in a white country especially since he never really knew himself in the first place. Eventually he has had enough and goes to find a hole in the ground where he then furnishes it and tries to find his true identity. The main character in this book is a nameless young black man. Being the main character of the story revolves around him. It’s about him. The writing style in this book is a little hard. There are some words in this book that can make it hard to read and understand for young readers. I really enjoyed reading this book and would recommend it to 7-8 graders. This is because of: the hard words in the book and what the book is about. I think the book would normally be for older readers, but it is still a great fictional story that can be enjoyed by many people."
6/8/2019 18:00:40,7,,Finding Orion,,John David Anderson,"3,4,5,6,7,8",,4,,,"FINDING ORION is the story about a boy named Rion and his weird family. His older sister Cass, wearing purple lipstick and hum-rapping songs from Hamilton. His younger sister Lyra, pigtailed and reading a pocket dictionary discovering new words to show off with. His mom and dad sitting shoulder to shoulder as if it was required by law to be sitting within kissing distance. Then Rion himself with elbows on the table and hands pressing his cheeks staring at the little piece of candy on his plate thinking that he was definitely adopted. During Christmas Papa Kwirk pays them a visit and  he brings the most unusual gifts. From, all the all events happening in the book like chicken flavored jelly beans, a wacky funneral, and a crazy scavenger hunt. There isn’t anything you can’t get out of this book. There is so much going on in the book! Who knows what else happens?! Out of all the characters in this book, I think the most important is Rion. He is the main character in the story. Everything is about him and his family. Mainly him. The writing style of this book isn’t hard at all. There aren’t any hard words in this book which make it easy to read and enjoyable. I really liked reading this book and I would recommend it to 3-8 graders. The lack of hard words in this book make it easy to read for young readers. Also the fact that it’s fiction means that it’s perfect for young kids!"
6/23/2019 13:31:38,6,,I funny,,James patterson,"5,6,7,8",,4,,,"I funny is a very funny and deep book.The protagonist is in a wheelchair and is an orphan a clice thing, I know but a very common one.He lives with the bully and a very sad family, living with a bully does not help their mood a lot.His uncle who owns a popular diner in the seaside town.Our protagonist Jamie Grimm Has a grim story  both parents dead and sister dead to as a cherry on top.He has to compete in this comedy contest so he can be named long islands funniest kid comic.He has to get through some challenges he has detention and he has to deal with bullying, girls and so much more.When the big day comes he wins and all is well.This story is very good while some parts are boring and forgettable the finale is UN forgettable the build up he might lose but he wins we see him change friends girls pressure from school and home it is all and all a great story."
12/29/2019 17:33:59,6,,Katie and the Cupcake Cure,,Coco Simon,"5,6",,5,,,"Over the summer, Katie Brown didn't spend a single second worrying about middle school. But when the first day of middle school comes, Katie is taken by surprise when her best friend Callie would rather hang out with a bunch of mean girls then with Katie, leaving her friendless. Katie quickly starts to panic, wondering what would happen to their friendship. Luckily, Mia, Alexis, and Emma sit with Katie, and Katie doesn’t feel so lonely after that. Throughout the book, Katie, Mia, Alexis, and Emma become best friends, and form a Cupcake Club. When their school announces that they are having a fund-raiser, they decide to sell cupcakes.
Katie Brown is very energetic, bold, and doesn’t really like change. She is an only child, and is very close with her mom. She loves baking cupcakes and hanging out with her friends. Mia is from Manhattan and is very fashionable, chill, she stands up for her friends, and doesn't make a big deal of of anything. Mia has one older stepbrother, her parents are divorced but she sees her dad every other weekend.
She also is very close to her stepdad, Eddie.  Alexis is very business-like and professional. She has an older sister that she goes to for advice. She doesn't like to get dirty, and she is very organized. Emma is shy and has two older brothers and one younger brother and she can not stand them. Emma is a model and also works as a dog walker. Callie was Katie’s best friend but would rather hang out with the new friends she made from camp. Callie is still nice, nicer then her friends, and buys a cupcake from Katie at the fund-raiser.
The writing style of this book is realistic fiction, and it uses a first person point of view. I would totally recommend this book, it is great for grades 4-8. You can really bond with the main character (Katie) and you can read the other books in the series told by Katie’s friends Alexis, Emma, and Mia."
1/11/2020 20:10:19,8,,Code Name Verity,,Elizabeth E. Wein,8,,4,,,"It is Word War II, and two best friends are forced to crash land in Nazi-occupied France. They are separated in enemy territory, and one is captured by the Gestapo right away. The first part of the story is about Queenie, her code name being Verity, which means truth. She must decide whether to face torture or cooperate with her captors. She chooses the latter but reveals her knowledge through a story of her friendship with Maddie, who is believed to be dead. The second part of the story is of Maddie. She tries to figure out a way to save her friend with the French resistance, and return back to Great Britain.
The book is historical fiction, and it reveals many facts and difficulties from the time period. For instance, there were very few female pilots. Also, the first part of the book is a confession and is very similar to a narrative. The second part is written in a pilot’s log by Maddie. Both describe the struggles and events going on through their writing. In the writing, stories of their life, friendship, family, fears, and many other ideas show up and enrich the story along with occasionally adding humor.
The book allows the reader to see two perspectives on the situation and hides many clues that would be hard to find reading it the first time. The book has a major plot twist at the end which reveals the result of the entire mission.
I would recommend this book, especially to readers who enjoy historical fiction. I enjoyed it because the plot had me hooked, and I wanted to know what would happen next. The details gave me a good understanding, and the characters were very well developed. The book reveals the struggles of war and allows readers to understand the hardships of the two characters. The story will make you wonder if you would be able to do the same actions and question how strong your own friendships are."
2/1/2020 14:13:17,6,,Wonder,,R.J. Palacio,"5,6,7,8,9,10,11,12",,5,,,"""When given the choice between being right and being kind, choose kind."" This is a quote from the award-winning book, “Wonder” by R. J. Palacio. Wonder is a book about a boy named August (but most people call him Auggie) who starts middle school. Auggie has never been to a real school before, because of a rare disease called Treacher Collins. Auggie is nervous, and he gets bullied. But Auggie, later on, finds a new friend. Jack Will. At first, Jack only hangs out with Auggie because he feels bad, but later on, finds out how cool Auggie can be, and they become best friends. Jack talks bad about Auggie behind his back, so Auggie hangs out with a girl named Summer. In the end, Auggie and Jack become best friends again.
The characters in this book are Auggie, Summer, Via, Jack Will, Auggie’s parents, Julian, and much more. Auggie is the main character in this book and his best friends are Jack Will and Summer. Jack Will is Auggie’s friend from the beginning but later talks bad about Auggie. They eventually make up and Auggie forgives him. Summer is optimistic, kind, and outgoing. She does not only hang out with Auggie because the principal told her to. She did it because she wanted to show kindness. Summer is always by Auggie’s side and always stands up for him. Via, or Violet, is Auggie’s big sister. She is caring, kind, and great at acting. Sometimes she  is jealous of the attention that Auggie’s parents give him, but at other times, she can be an understanding sister. Auggie’s parents are very protective of Auggie. They are very understanding of Auggie’s problems, and always make time for him. Jullian is obnoxious, insecure, and a bully. He makes fun of Auggie just because of his face.  He is quick to judge and does not care about other people’s feelings.
The book “Wonder” changed the world. It opened people’s eyes to how someone would feel having a facial deformity. It also taught people that you should never judge a book by its cover, and always be kind. It shows how cruel the world can be and how you should always stick together with the people you care about. “Wonder” is a great read for families, and I think everyone should read it."
2/29/2020 12:28:11,7,,Ruined,,Amy Tintera,"6,7,8",,5,,,"Everything that Emelina Flores has ever loved has been taken from her. Her home was destroyed by war, her parents were killed, and her sister was kidnapped. But  now it is time for her revenge. Even without the powers of her fellow Ruined, Emelina will prove she can still do plenty of damage. Emelina plans to get revenge on the royal family of Lera since they are responsible for Emelina’s suffering. She plans to pretend to be the betrothed of the crowned prince, Prince Casimir, as a way to infiltrate the castle. She will lead an ambush on the castle, and kill the king, along  with everyone he loves. But how will her plans change when she falls in love with the prince? The complexity of the characters and the character growth they experience throughout the story, make them seem like real people. The relationships between the characters are very believable as they express hate, love, and trust towards one another. In addition to this, the characters reflect on their past decisions with emotions such as regret and sadness that show very well in the writing of the book. Because of how close to human these characters are, it is easy to care about them as they are forced to make hard decisions that will change their lives. I would recommend this book because it is beautifully written, with many twists and turns, and the story’s fast-pace ensures you will never be bored. The book is filled with action that keeps you on your toes in anticipation as you wait for something big to happen."
3/8/2020 8:44:48,7,,The Testing,,Joelle Charbonneau,6-8,,4,,,"After The Seven Stages of War, the Earth became barely habitable. As a result, the next generation’s leaders must be chosen very carefully. Candidates to be a leader are chosen to take part in The Testing, only if they pass can they go to University. Cia Vale is one of these candidates, which makes her very proud. But the night before leaving for The Testing, her dad, former Testing candidate and a University graduate, tells Cia the traumatizing effect The Testing had on him and warns Cia not to trust anyone. The Testing is filled with hard tests, causing many injuries, including death. In addition to this, the other Testing Candidates are determined to get into University, including sabotaging the other candidates. Cia must make smart decisions if she is to make it through The Testing and get into University. The characters seemed very realistic and their emotions were beautifully displayed in the book. The story was very realistic, which helped me visualize the setting and the things the characters were experiencing. However, the book started off slowly,  making it hard to get into. The story is action-filled and makes you think as you experience the adventure with them. I would recommend this book because it was so hard to put down after I started reading it. There are many plot twists that keep the book interesting and keeps you on your toes."
3/16/2020 15:57:29,7,,Field Notes on Love,,Jennifer E. Smith,"6,7,8",,5,,,"Jennifer E. Smith’s romantic novel, Field Notes on Love, is the story of two  soon-to-be college students. One of them is afraid of love while the other has been left with a broken heart and an extra train ticket to travel across America. They both come from two different worlds, but the strangers soon find they have more in common than they realize. As they grow closer so does the time for them to say goodbye, but how can love survive the distance of an entire ocean?
The second I picked this book up I became entranced by how smoothly it is written. Every word and phrase felt significant, yet I never felt overwhelmed by all the descriptions and details.
The way the author switches perspectives between the two protagonists each chapter allows the reader to better understand the characters. While I was reading this book, I felt almost as if I were there watching each scene. The imagery truly paints a beautiful picture.
Overall, I would recommend this book to anyone who enjoys a novel filled with romance and adventure. It kept me on the edge of my seat until the very end, and is one of the most wonderful books I have ever read."
3/18/2020 12:21:19,7,,Percy Jackson's Greek Gods,,Rick Riordan,"5,6,7,8",,5,,,"Percy Jackson, the demigod son of Poseidon, takes you into the world of Greek gods and heroes as you learn about each of the twelve Olympians and a few extra gods. He takes you way back to the time before humans, all the way back to before the earth. He tells you the many things from the big things, like how the Earth was created, to the small things, such as how the flute was created. Percy Jackson teaches you about each god’s past, linking one story to the next, each god to each other. He shows you each of the gods’ powers, faults, and many funny stories about them.
Percy teaches you the basics of Greek mythology in a fun and engaging way. Percy’s humor and jokes make the book easy to read and laugh at. The pictures made it easy to visualize the Olympians’ power and just how frightening they were to the people from the past. The writing beautifully weaved in Percy’s personality to the classic Greek stories.
I would recommend this book because it is a fun way to learn Greek mythology. This book is also the kind of book that you could read over and over again. Every single time I reread it I could not put the book down."
3/21/2020 19:08:47,6,,Pictures Of Hollis Woods,,Patricia Reilly Giff,"5,6,7",,4,,,"“I thought about Steven and the Old Man and Izzy and I put my hand on my chest because there was such an ache inside.” Hollis Woods is abandoned as a baby and spends her life living in various foster homes. She tells what happens between the time she spends with Josie Cahill and the summer she spent with the Regan family, who wanted to adopt her. “Pictures of Hollis Woods” is a novel by Patricia Reilly Giff, and it is a great read for all. The main characters of the book are Hollis, Steven, Josie, Old Man, and Izzy. Izzy, Old Man, and Steven are part of the Regan family.
They love Hollis and adopt her. Josie is the foster parent that is fostering Hollis and has a very special connection. Even after Hollis runs away, she still hears Steven’s voice in her head, and can’t stop thinking about the Regan family, and how they were the only people in her life so far that truly cares about her. In the end, she realizes how much she misses the Regan family and finds out that she belongs with the Regans. This is a great book about a girl who searches for her forever family, there are flashbacks, fast forwards, and everything in between."
3/23/2020 18:15:26,7,,To All the Boys I've Loved Before,,Jenny Han,"6,7,8",,4,,,"Are you looking for a book about the terrifying journey of falling in love? Then Jenny Han’s novel, To All the Boys I’ve Loved Before, is the book for you.
Lara Jean is a hopeless romantic. She loves to read about it, but romance is a scary thing for a junior in high school. That is why Lara Jean keeps her crushes sealed up in five love letters that are hidden from the rest of the world. One day, everything changes. The letters Lara Jean wrote aren’t so secret anymore, someone sent them out. She attempts to keep her older sister’s ex-boyfriend from finding out she is in love with him. However, Lara Jean ends up starting a fake relationship with another one of the recipients of her love letters. As Lara Jean tries to bring her life back to normal, she realizes that she may be falling in love all over again.
Throughout this book, the reader can truly connect with the protagonist. The author does an amazing job of describing the thoughts and emotions of Lara Jean. It is as if you are looking at the story through Lara Jean’s eyes because you see the good, bad, and the in-between moments.
All in all, I would recommend this book to anyone who enjoys a modern-day love story. This novel sucked me in right at the beginning, with its original yet relatable plot. After all, being in a relationship, real or fake, is challenging."
3/24/2020 15:40:16,7,,Percy Jackson's Greek Heroes,,Rick Riordan,"5,6,7,8",,5,,,"Percy Jackson, the demigod son of Poseidon, introduces you to Greek’s mightiest heroes. With the classic Greek heroes: Perseus, Psyche, Phaethon, Otrera,   Daedalus, Theseus, Atalanta, Bellerophon, Cyrene, Orpheus, Hercules, and Jason, Percy Jackson teaches you the basics of each hero showing you each hero’s best moments as well as their most embarrassing stories. Percy teaches you how the Olympian gods influenced each hero’s lives in a good or bad way. With stories such as how Theseus slew the Minotaur and how the Amazons started, the book is packed with information and humor.
Percy Jackson once again gets us laughing with his humor and funny jokes, even when the stories are serious. The many pictures ensure you understand the dangerous situations each hero had to overcome. The book is beautifully written thanks to Rick Riordan’s ability to weave one’s personality into a classic story.
I would recommend this book since it is an easy and fun way to learn about classic Greek heroes. The book is easy to reread and get more information out of it each time you read it. This is a good book for those who know a lot about Greek Mythology and for those who don’t since you could always learn something new from this book. The book is almost impossible to put down once you start reading it and will keep you laughing at all the hilarious jokes."
3/24/2020 17:33:33,7,,Obsessed,,Allison Britz,"5,6,7",,3,,,"Obsessed, by Allison Britz, is an astonishing memoir in which the reader is immersed in the author’s battle with OCD.
Allison is a pretty normal teenager. She has a best friend, a crush, and can’t stop thinking about the prom. Then one morning her whole life suddenly gets turned inside out. A terrifying nightmare about getting brain cancer begins to haunt Allison, and she finds the only way to calm her anxiety is to listen to the unfamiliar angry voice inside her head. While endeavoring to stop her dream from becoming a reality, Allison begins to shut everyone and everything out.
The author does an amazing job of conveying the hardships and challenges that come with obsessive-compulsive disorder. Through this book, the reader can become more educated about OCD through a real-life story.
In every chapter of this memoir, there is an ongoing fight between the protagonist and herself. Every emotion the author describes is powerful. As I was reading this, I felt like I could truly understand the main character.
Through sharing her story the author has created a beautifully written book. Overall, I would definitely recommend this memoir to anyone looking for a book about the internal battle life can be."
3/24/2020 19:05:04,7,,When Friendship Followed Me Home,,Paul Griffin,"6,7,8",,5,,,"When Friendship Followed Me Home is an emotional rollercoaster for young adult fiction readers. An adopted, lonely boy named Ben meets a stray dog (Flip) who becomes Ben’s best friend and a much-needed confidence boost. Together, they bump into The Rainbow Girl, Halley, daughter of the librarian and Ben’s first true friend. The problem? Halley has cancer. Determined to write 111 books in her lifetime, Halley and Ben become very close and Begin writing together. When a sudden loss shakes Ben and forces him into a new home, he and Halley must learn to overcome life’s unfortunate endings and consequences. Paul Griffin illustrates a wonderful, shining story with love, loss, and laughs."
3/25/2020 16:43:18,7,,Avenged,,Amy Tintera,"6,7,8",,5,,,"After rescuing her sister Olivia, Em returns to Ruina where she and Olivia work together to restore their former kingdom. Olivia proposes a diarchy so that she and Em may rule Ruina together. However, as they start to work together, their wants and views of the future clash. Olivia wants to punish those who opposed the Ruined, but Em wants peace. Em believes that with Cas on the Leran throne, peace is within reach, but Olivia worries that Em’s feelings for Cas may be clouding her judgment.
Em now faces must make the difficult choice of either betraying her only family to bring peace or allow a war to save her family from falling apart once again.
The writing of the book is beautiful as the emotions and thoughts of each character is displayed. The characters are, once again, very human-like in their complexity, and Em’s feelings towards Olivia and Cas makes you understand her struggle in choosing between the two of them.
I would recommend this book because of how beautifully written it is and how relatable the characters are. The book makes you never want to put the book down again with action that ensures there is never a boring chapter."
3/25/2020 17:31:17,7,,Allied,,Amy Tintera,"6,7,8",,4,,,"All Em wanted for the people of Ruina was peace but as Olivia’s intentions of  revenge against those that wronged the Ruined became clear, Em can only hope that she could change Olivia’s mind. However, Em is not the only one who disapproves of Olivia’s violent ways, many other Ruined also feel the same way and join Em in trying to stop Olivia from causing more destruction. As Olivia realizes that Em had betrayed her, their distrust towards one another becomes clear and both know that a war between their own race might be in their near future, but only will be victorious.
The characters were very realistic and as you get to know them more, you start to care about them. The feelings you develop for the characters make you feel bad for them and sometimes, scared for their lives. The dialogue was beautifully written like the characters were real people talking, and as the characters created new bonds with each other, it displayed beautifully within the writing of the book.
I would recommend this book because the writing is beautiful, and the characters are complex and human-like. However, the book was slower than the previous two, the book still keeps you at the edge of your seat as you worry about each character’s life."
3/25/2020 18:27:10,7,,New Moon,,Stephenie Meyer,"6,7,8",,4,,,"Stephenie Meyer’s New Moon continues the Twilight Saga, showing once again the power of love.
Bella Swan thinks she has seen it all. Last school year, she fell in love with a vampire named Edward Cullen, met his family of vampires, and then got attacked by other vampires. Finally, everything seems to be back to as normal as it can be, so can’t  true love just be left alone once it is found? Apparently not. Suddenly, the Cullen family disappears without a trace, and Bella’s whole life seems pointless without Edward by her side. While Bella attempts to cover up her unbearable wound, she gains a best friend: Jacob Black. Then one day, Jacob joins a mysterious cult and disappears from Bella’s life. With two of the most important people in her life gone, how will Bella survive?
Through the author’s sequel the reader gets to know the protagonist even more and the depth of her emotions. Meyer paints a vivid picture of the anguish that Bella feels. As you get closer to the end of this novel, you will also get closer to understanding Bella Swan’s heart.
All in all, I would recommend this novel to anyone who fell in love with Twilight and was on the edge of their seat waiting for more."
3/31/2020 19:13:17,7,,To All The Boys I've Loved Before,,Jenny Han,"6,7,8",,5,,,"Lara Jean wrote letters to all her crushes but ever wanted them to be sent. She wrote one to five boys, including her first kiss and her sister’s ex-boyfriend, Josh. However, when she finds that all of her letters have been sent out, she does everything she can to make sure Josh thinks she no longer has feelings for him by telling him she is dating Peter, another recipient of a letter. Peter, who wants to make his ex-girlfriend jealous, decides to go along with the lie. But can a fake relationship inspire real love?
The writing of this book is very descriptive, and the characters are very relatable and act like normal teenagers. The personalities of the characters are interesting and lovable with faults that make them seem like real people. The relationship between the three sisters is so funny and sweet because of how close they are. They are like every sibling relationship since they love and hate each other but still help each other out.
I would recommend this book because of how interesting the story is and how lovable and sweet the characters are. Once you start reading it, you will not be able to put it down."
4/1/2020 13:45:31,7,,P.S. I Still Love You,,Jenny Han,"6,7,8",,5,,,"After fighting with Peter at the Christmas Party, Lara Jean makes up with Peter. However, a video from the Ski Trip of Lara and Peter making out in the hot tub leaks all over the internet causing rumors to spread. Peter defends Lara and tells the  poster of the video to not mess with Lara Jean. John Ambrose McClaren, a recipient  of a letter who had moved away, contacted Lara Jean, and the two became pen pals. Lara Jean holds a 7th grade reunion and invites everyone including John. Peter invites his ex-girlfriend causing Lara Jean to be jealous while Peter is jealous of John. Could Jealousy tear the two apart?
Jenny Han captures teens perfectly in the way they act and think. Lara Jean’s emotions show strongly in the writing of the book and makes you feel them along with her. With the addition of John Ambrose McClaren, the story gets even more exciting and interesting. As you get to know the characters better the more you love and hate them.
I would recommend this book because it is a beautiful story, and the characters are so lovable and believable that you could just get absorbed in the story. You will not want to put it down once you start it."
4/1/2020 14:26:14,7,,Always and Forever Lara Jean,,Jenny Han,"6,7,8",,5,,,"Lara Jean is the happiest she has ever been with a trip to New York, prom, Beach week, and her dad’s getting to Ms.Rothschild, and she is going to the University of Virginia with her boyfriend, who got a sports scholarship for lacrosse. However, when she gets some unexpected news that she has been rejected from the University of Virginia, her whole plan seems to fall apart. Will their relationship last the obstacles life will bring?
The writing is, once again, beautiful and nicely brings the trilogy to a close. The characters and their relationships are lovable it is sad that this is the final book. The relationships are very realistic as the couple fight and make up. Ms.Rothschild instantly becomes a mother figure to Lara and makes you love her instantly. While reading this book, it is easy to get absorbed into the story. The family relationships are so realistic as they get mad at each other or support each other throughout the book.
I would recommend this book because the story is so exciting and beautiful that you could just fall in love with it. The book is so interesting that you cannot put it down."
,,,,,,,,,,,
,,,,,,,,,,,
4/5/2020 0:07:42,7,,Tell Me Three Things,,Julie Buxbaum,"6,7,8",,1,,,"Tell me three things is a young adult novel written by Julie Buxbaum. It is a mystery/romance genre centered around the life of a teenager named Jessie, still getting over the death of her mother who died from cancer. Her father eloped with a rich actress and they moved to a small wealthy town. As Jessie tries to fit in with the rich kids at her private school, and deal with bullies and boys, she also tries to piece together who is sending her text messages and emails about her new environment.
It is clear Buxbaum is trying to portray Jessie as a bullied girl who's dead mom is taking a toll on her social life, but Jessie is a very unlikeable character. She is very aggressive at parts of the book, such as saying she thinks of beating her father until he bleeds and begs for forgiveness, and thinking she wished her father died instead of her mother. Buxbaum tries to get the reader to feel sorry for her by including tough situations, but Jessie outdoes that by being aggressive and annoying.
The ending is both predictable and surprising, because you thought the person who wrote Jessie all those messages would be someone you never expected, perhaps the girl who was bullying her, or someone who was hiding from the shadows, but it is the person that was so obvious all along and provided no surprise or excitement at the end. The very ending, the person who was sending her all those messages, it was the reason people keep reading. But the person who you have been waiting throughout the entire book to find out is the bland obvious guy. The 'surprising ending' was just a deflated helium balloon slowly exhaling air. Nothing to look at but it's at least something.
This book is not a good read. Very predictable, no exciting moments, doesn't leave you thinking. Simply bland, boring, and cliche. Do not recommend reading, waste of time and waste of money. This book is a 1 out of 5 stars."
4/5/2020 0:48:06,7,,Sadie,,Courtney Summers,"7,8,9,10,11,12",,5,,,"Sadie is a young adult mystery novel written by Courtney Summers. Sadie Hunter is  a girl that went missing from her small town Cold Creek. When popular radio personality West McCray gets a call from an anonymous person begging to help find Sadie, he decides to start a radio series dedicated to finding Sadie. Sadie fled her town after her younger sister Mattie was found dead, burned in a fire. She is intent on finding Keith, the man who dated her mother and left, believing that he murdered her sister. Switching POV's back and forth between the radio series transcripts and Sadie, it is a wonderful mystery.
The switching POV's is one of the best parts of the story. You put the pieces together throughout the story, finding out clues that the characters don't realize. Hearing both sides makes you really feel like you are in the story, helping McCray find Sadie.
Summers is a very talented author who uses descriptive words and good angles to help the reader see the story from all sides and really immerses them in it.
Sadie is a very relatable character who you can understand. The book brings in things that everyday teens relate to, involving parent fights, and angsty moments.
Sadie's pain, shock, anger, and happiness really sticks to the reader, and you feel for her, every single moment. The suspense and shock and thriller really gets to you.
You can't stop reading, always wanting to see what comes next. And it is always  worth it. The twists and turns in this book are amazing. Summers could make watching paint dry an interesting read. There is never a dull moment in the characters and the plot.
The ending is surprising and shocking. At the very ripe moment when you finally figure out what is going to happen to Sadie - will she come back? Will she die? Will she be gone for good? What happens to Sadie? The best part of reading is using your imagination to think up what happens next. No spoilers should come up, but the ending is something seat gripping and sweat dripping, and will leave you satisfied for long after you finished reading.
Sadie is an amazing read that leaves you on the edge of your seat. Summers is a creative talented author that will make you feel so much. Definitely read this book."
4/6/2020 16:56:00,6,,Harry Potter and the Prisoner of Azkaban,,J.K Rowling,"5,6,7",,4,,,"Harry gets fed up with the Dursleys while staying with them in the summer, and accidently blows up his aunt. Harry isn't punished for this and soon finds out why: turns out, a dangerous prisoner, Sirius Black, has escaped from Azkaban and is hunting down Harry. When Harry returns to school, everyone is preoccupied with fear of Sirius Black. Soon Snape shows up and we learn the shocking truth, Sirius Black is innocent and Scabbers the rat is really Peter Pettigrew, in Animagus form, which gives him the ability to turn into an animal at will. Voldemort's servant and the real criminal. Meaning, Sirius was framed. it turns out Sirius Black is a good guy and Harry's godfather. But Pettigrew escapes and Sirius is captured by the Dementors.
Harry and Hermione use a device to turn back time, and they manage to help Sirius escape.
The main character of this book is Harry Potter. He is brave, loyal, and selfless. His best friends are Ron and Hermione, and they are always by his side. He recently discovered his godfather is Sirius Black and they form a very close relationship.
I think this is a wonderful read and Harry Potter is a great role model for kids. However, younger grades might not understand some parts of the story, as some of it is confusing. This story is a wonderful example of loyalty and forgiveness."
4/14/2020 16:29:37,7,,Eclipse,,Stephenie Meyer,"6,7,8",,4,,,"Seattle has been experiencing many mysterious murders, which Edward suspects are a bunch of bloodthirsty newborn vampires who are craving human blood. When Bella goes to visit Jacob, Jacob confesses his love for Bella. Alice soon has a vision that the vampire Victoria has come to kill Bella in revenge for Edward killing her mate, James. Bella has once again found herself in the middle of conflict and now faces a new decision between Edward and Jacob, knowing that choosing either one can make the old conflict between vampires and werewolves much worse.
The story is very interesting and fun to read. The dialogue makes the characters seem real and it is fun to see them interact. The relationships between people are very realistic. Each character is very well developed. Also, the emotions Bella experiences are displayed very well in the writing. The story is very original and the world Meyer has created expands with every book. As Bella faces tough decisions it feels like we are there with her, struggling to make a choice.
I would recommend this book because it is a good continuation of the Twilight series. The book is very engaging and the story is easy to get absorbed into that you will never want to put the book down again."
,,,,,,,,,,,
,,,,,,,,,,,
4/14/2020 16:34:07,7,,Independent Study,,Joelle Charbonneau,"6,7,8",,5,,,"Cia Vale is ready to begin her university education at the Commonwealth’s University with her boyfriend Tomas. Her memories of her Testing wiped from her memory, Cia must decide if she should believe the voice on her Transit Communicator that tells her what happened during the Testing or continue her studies with the rest of the University. But as memories of her past come back in her nightmares, Cia must  figure out who she can really trust. However, the more digging she does, the more dangerous her path becomes. Cia must decide whether to continue on this new path or stay put to keep her friends and family safe.
The characters are very realistic, with the exception of Cia, who is unusually perfect. The characters are different from one another with different skill sets that make each of them dangerous. The writing is marvelous, and the story keeps you thinking as Cia solves each problem that is thrown her way.
I would recommend this book because of how action-packed it is. Even though the storyline is very similar to most dystopian series, the book is still beautiful. As soon as you pick it up, you won’t be able to put it down."
4/14/2020 16:36:13,7,,Graduation Day,,Joelle Charbonneau,"6,7,8",,5,,,"Cia Vale might be the only one who can end the testing and stop a civil war that can kill many innocent lives. Cia must decide who to trust and who might sabotage her efforts. However, she must decide whether she can risk the lives of those she loves. Cia is determined to do whatever it takes to end the testing that killed many bright minds and her friends, even if it means having to kill the people she once admired.
The story is very interesting and keeps you thinking as Cia tries to solve the problems that are thrown at her. The writing is beautiful and takes you into Cia’s world and makes you believe you are actually there.  As Cia goes through many emotions during the story, you experience them right along with her. The characters, for the most part, seem realistic and act just like regular humans. The book closes off the trilogy nicely, but it is still very sad that this is the final book of the series.
I would recommend this book because it is a very interesting story to read. The book has many twists and turns that make you worry about each character’s life. Once you start reading, it is hard to put the book down again."
,,,,,,,,,,,
,,,,,,,,,,,
4/21/2020 16:56:24,8,,Projekt 1065,,Allan Gratz,"6,7",,4,,,"It is World War II, and Michael O’Shaunessey and his parents are in Nazi Germany. While they are the Irish ambassador to Germany, secretly they are also spies for Great Britain. To hide their true intentions, Michael must join the Hitler Youth. One   day, his group is ordered to find a downed British Pilot. After hiding him, Michael and his parents come at night to pick him up. Meanwhile, Michael befriends Fritz, whose father is a part of a team developing a plane. Simon, the downed pilot reveals that his mission was to investigate t this plane. As Michael and Fritz bond, Michael discovers more about the plane, even using his photographic memory to memorize blueprints that Fritz shows him. Simon's escape goes all wrong, and Simon goes missing.
Additionally, Michael has to find a way to get onto a secret team to find out what they intend on doing. [spoiler] In the end, it is decided that Michael will turn in his parents and Simon, who later returned, to get onto the team. Simon is killed, but Michael is added to the secret team, and they travel to Switzerland to kill everyone attending a science meeting. Michael manages to bring the main target onto a lift going down the mountain where the meeting was held, only to be confronted by Fritz, who had a bomb and was ready to die for the Nazis. The two boys battle it out, but eventually, Fritz is swept away by an avalanche. Michael saves the scientist and escapes to Great Britain where his parents are waiting. Then he writes down all the blueprints of the plane that he memorized.
The book is based on real facts. The Germans were developing the Messerschmidt Me262, the first jet plane, and the allies needed to find out about it.
The book is written from Michael’s point of view. This allows the reader to understand the hard decisions he has to make, as well as feel his emotions. Likewise, the reader can understand how Michael sees other characters, and how he connects, especially with Simon. Throughout the book, it becomes clear how difficult life was back then, and that sacrifices had to be made, which is a major theme.
I would recommend this book to anyone who enjoys historical fiction or adventure. It is a great book to understand the sacrifices made during a war."
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
